zpid,id,detailUrl,address,addressStreet,Zipcode,number of bedrooms,number of bathrooms,area,price,latitude,longitude
86102255,86102255,https://www.zillow.com/homedetails/232-S-Dryden-St-Stillwater-OK-74074/86102255_zpid/,"232 S Dryden St, Stillwater, OK 74074",232 S Dryden St,74074,3,1,1025,135000,36.120007,-97.04933
123345332,123345332,https://www.zillow.com/homedetails/4816-Haley-Ln-Stillwater-OK-74074/123345332_zpid/,"4816 Haley Ln, Stillwater, OK 74074",4816 Haley Ln,74074,4,2,1578,270000,36.097122,-96.99341
2069355647,2069355647,https://www.zillow.com/homedetails/251-W-Miller-Ave-203-Stillwater-OK-74075/2069355647_zpid/,"251 W Miller Ave #203, Stillwater, OK 74075",251 W Miller Ave #203,74075,4,4,1258,175000,36.12338,-97.06107
86102805,86102805,https://www.zillow.com/homedetails/724-S-McDonald-St-Stillwater-OK-74074/86102805_zpid/,"724 S McDonald St, Stillwater, OK 74074",724 S McDonald St,74074,5,2,2090,240500,36.113533,-97.08087
2068518449,2068518449,https://www.zillow.com/homedetails/5620-S-Jesse-Ln-Stillwater-OK-74074/2068518449_zpid/,"5620 S Jesse Ln, Stillwater, OK 74074",5620 S Jesse Ln,74074,1,1,588,106000,0.0,0.0
224755538,224755538,https://www.zillow.com/homedetails/403-E-McElroy-Rd-Stillwater-OK-74075/224755538_zpid/,"403 E McElroy Rd, Stillwater, OK 74075",403 E McElroy Rd,74075,4,2,2140,310000,36.130184,-97.053696
86102826,86102826,https://www.zillow.com/homedetails/1223-S-Fern-St-Stillwater-OK-74074/86102826_zpid/,"1223 S Fern St, Stillwater, OK 74074",1223 S Fern St,74074,2,2,946,155000,36.10819,-97.05289
86109056,86109056,https://www.zillow.com/homedetails/2906-W-25th-Ave-Stillwater-OK-74074/86109056_zpid/,"2906 W 25th Ave, Stillwater, OK 74074",2906 W 25th Ave,74074,4,2,2549,345000,36.095406,-97.09506
125524919,125524919,https://www.zillow.com/homedetails/3221-S-Black-Oak-Dr-Stillwater-OK-74074/125524919_zpid/,"3221 S Black Oak Dr, Stillwater, OK 74074",3221 S Black Oak Dr,74074,3,3,2568,420000,36.086014,-97.09951
2067079952,2067079952,https://www.zillow.com/homedetails/6014-Haydans-Brk-Stillwater-OK-74074/2067079952_zpid/,"6014 Haydans Brk, Stillwater, OK 74074",6014 Haydans Brk,74074,3,3,2347,387000,0.0,0.0
2068019255,2068019255,https://www.zillow.com/homedetails/1013-E-Main-St-Stillwater-OK-74074/2068019255_zpid/,"1013 E Main St, Stillwater, OK 74074",1013 E Main St,74074,2,2,1036,95000,0.0,0.0
224759259,224759259,https://www.zillow.com/homedetails/1814-E-Sunrise-Ave-Stillwater-OK-74075/224759259_zpid/,"1814 E Sunrise Ave, Stillwater, OK 74075",1814 E Sunrise Ave,74075,4,2,2056,301000,36.138027,-97.0366
